source,target,year,value
Excise Tax,Revenue,1973,1.2
Excise Tax,Revenue,1974,1.1
Excise Tax,Revenue,1975,1
Excise Tax,Revenue,1976,0.9
Excise Tax,Revenue,1977,0.9
Excise Tax,Revenue,1978,0.8
Excise Tax,Revenue,1979,0.7
Excise Tax,Revenue,1980,0.9
Excise Tax,Revenue,1981,1.3
Excise Tax,Revenue,1982,1.1
Excise Tax,Revenue,1983,1
Excise Tax,Revenue,1984,0.9
Excise Tax,Revenue,1985,0.8
Excise Tax,Revenue,1986,0.7
Excise Tax,Revenue,1987,0.7
Excise Tax,Revenue,1988,0.7
Excise Tax,Revenue,1989,0.6
Excise Tax,Revenue,1990,0.6
Excise Tax,Revenue,1991,0.7
Excise Tax,Revenue,1992,0.7
Excise Tax,Revenue,1993,0.7
Excise Tax,Revenue,1994,0.8
Excise Tax,Revenue,1995,0.8
Excise Tax,Revenue,1996,0.7
Excise Tax,Revenue,1997,0.7
Excise Tax,Revenue,1998,0.6
Excise Tax,Revenue,1999,0.7
Excise Tax,Revenue,2000,0.7
Excise Tax,Revenue,2001,0.6
Excise Tax,Revenue,2002,0.6
Excise Tax,Revenue,2003,0.6
Excise Tax,Revenue,2004,0.6
Excise Tax,Revenue,2005,0.6
Excise Tax,Revenue,2006,0.5
Excise Tax,Revenue,2007,0.5
Excise Tax,Revenue,2008,0.5
Excise Tax,Revenue,2009,0.4
Excise Tax,Revenue,2010,0.5
Excise Tax,Revenue,2011,0.5
Excise Tax,Revenue,2012,0.5
Excise Tax,Revenue,2013,0.5
Excise Tax,Revenue,2014,0.5
Excise Tax,Revenue,2015,0.5
Excise Tax,Revenue,2016,0.5
Excise Tax,Revenue,2017,0.4
Income Tax,Revenue,1968,7.6
Income Tax,Revenue,1969,8.9
Income Tax,Revenue,1970,8.6
Income Tax,Revenue,1971,7.7
Income Tax,Revenue,1972,7.8
Income Tax,Revenue,1973,7.6
Income Tax,Revenue,1974,8
Income Tax,Revenue,1975,7.6
Income Tax,Revenue,1976,7.4
Income Tax,Revenue,1977,7.8
Income Tax,Revenue,1978,7.9
Income Tax,Revenue,1979,8.5
Income Tax,Revenue,1980,8.7
Income Tax,Revenue,1981,9.1
Income Tax,Revenue,1982,9
Income Tax,Revenue,1983,8.2
Income Tax,Revenue,1984,7.5
Income Tax,Revenue,1985,7.8
Income Tax,Revenue,1986,7.7
Income Tax,Revenue,1987,8.2
Income Tax,Revenue,1988,7.8
Income Tax,Revenue,1989,8
Income Tax,Revenue,1990,7.9
Income Tax,Revenue,1991,7.7
Income Tax,Revenue,1992,7.4
Income Tax,Revenue,1993,7.5
Income Tax,Revenue,1994,7.5
Income Tax,Revenue,1995,7.8
Income Tax,Revenue,1996,8.2
Income Tax,Revenue,1997,8.7
Income Tax,Revenue,1998,9.3
Income Tax,Revenue,1999,9.2
Income Tax,Revenue,2000,9.9
Income Tax,Revenue,2001,9.4
Income Tax,Revenue,2002,7.9
Income Tax,Revenue,2003,7
Income Tax,Revenue,2004,6.7
Income Tax,Revenue,2005,7.2
Income Tax,Revenue,2006,7.6
Income Tax,Revenue,2007,8.1
Income Tax,Revenue,2008,7.8
Income Tax,Revenue,2009,6.3
Income Tax,Revenue,2010,6.1
Income Tax,Revenue,2011,7.1
Income Tax,Revenue,2012,7.1
Income Tax,Revenue,2013,8
Income Tax,Revenue,2014,8.1
Income Tax,Revenue,2015,8.6
Income Tax,Revenue,2016,8.4
Income Tax,Revenue,2017,8.3
Mandatory**,Federal Retirement,1968,0.6
Mandatory**,Federal Retirement,1969,0.7
Mandatory**,Federal Retirement,1970,0.7
Mandatory**,Federal Retirement,1971,0.8
Mandatory**,Federal Retirement,1972,0.9
Mandatory**,Federal Retirement,1973,0.9
Mandatory**,Federal Retirement,1974,1
Mandatory**,Federal Retirement,1975,1.2
Mandatory**,Federal Retirement,1976,1.1
Mandatory**,Federal Retirement,1977,1.1
Mandatory**,Federal Retirement,1978,1.1
Mandatory**,Federal Retirement,1979,1.1
Mandatory**,Federal Retirement,1980,1.2
Mandatory**,Federal Retirement,1981,1.2
Mandatory**,Federal Retirement,1982,1.3
Mandatory**,Federal Retirement,1983,1.3
Mandatory**,Federal Retirement,1984,1.2
Mandatory**,Federal Retirement,1985,1.1
Mandatory**,Federal Retirement,1986,1
Mandatory**,Federal Retirement,1987,1.1
Mandatory**,Federal Retirement,1988,1.1
Mandatory**,Federal Retirement,1989,1
Mandatory**,Federal Retirement,1990,1
Mandatory**,Federal Retirement,1991,1.1
Mandatory**,Federal Retirement,1992,1
Mandatory**,Federal Retirement,1993,1
Mandatory**,Federal Retirement,1994,1
Mandatory**,Federal Retirement,1995,1
Mandatory**,Federal Retirement,1996,1
Mandatory**,Federal Retirement,1997,0.9
Mandatory**,Federal Retirement,1998,0.9
Mandatory**,Federal Retirement,1999,0.9
Mandatory**,Federal Retirement,2000,0.9
Mandatory**,Federal Retirement,2001,0.9
Mandatory**,Federal Retirement,2002,0.9
Mandatory**,Federal Retirement,2003,0.9
Mandatory**,Federal Retirement,2004,0.9
Mandatory**,Federal Retirement,2005,0.9
Mandatory**,Federal Retirement,2006,0.8
Mandatory**,Federal Retirement,2007,0.9
Mandatory**,Federal Retirement,2008,0.9
Mandatory**,Federal Retirement,2009,1
Mandatory**,Federal Retirement,2010,0.9
Mandatory**,Federal Retirement,2011,0.9
Mandatory**,Federal Retirement,2012,0.9
Mandatory**,Federal Retirement,2013,0.9
Mandatory**,Federal Retirement,2014,0.9
Mandatory**,Federal Retirement,2015,0.9
Mandatory**,Federal Retirement,2016,0.9
Mandatory**,Federal Retirement,2017,0.8
Mandatory**,Income Security,1968,0.7
Mandatory**,Income Security,1969,0.7
Mandatory**,Income Security,1970,0.8
Mandatory**,Income Security,1971,1.2
Mandatory**,Income Security,1972,1.3
Mandatory**,Income Security,1973,1.1
Mandatory**,Income Security,1974,1.2
Mandatory**,Income Security,1975,1.8
Mandatory**,Income Security,1976,2.1
Mandatory**,Income Security,1977,1.7
Mandatory**,Income Security,1978,1.4
Mandatory**,Income Security,1979,1.3
Mandatory**,Income Security,1980,1.6
Mandatory**,Income Security,1981,1.6
Mandatory**,Income Security,1982,1.6
Mandatory**,Income Security,1983,1.8
Mandatory**,Income Security,1984,1.3
Mandatory**,Income Security,1985,1.2
Mandatory**,Income Security,1986,1.2
Mandatory**,Income Security,1987,1.2
Mandatory**,Income Security,1988,1.1
Mandatory**,Income Security,1989,1.1
Mandatory**,Income Security,1990,1.2
Mandatory**,Income Security,1991,1.4
Mandatory**,Income Security,1992,1.7
Mandatory**,Income Security,1993,1.7
Mandatory**,Income Security,1994,1.6
Mandatory**,Income Security,1995,1.5
Mandatory**,Income Security,1996,1.5
Mandatory**,Income Security,1997,1.4
Mandatory**,Income Security,1998,1.4
Mandatory**,Income Security,1999,1.4
Mandatory**,Income Security,2000,1.3
Mandatory**,Income Security,2001,1.4
Mandatory**,Income Security,2002,1.7
Mandatory**,Income Security,2003,1.7
Mandatory**,Income Security,2004,1.6
Mandatory**,Income Security,2005,1.5
Mandatory**,Income Security,2006,1.5
Mandatory**,Income Security,2007,1.4
Mandatory**,Income Security,2008,1.8
Mandatory**,Income Security,2009,2.4
Mandatory**,Income Security,2010,3
Mandatory**,Income Security,2011,2.6
Mandatory**,Income Security,2012,2.2
Mandatory**,Income Security,2013,2.1
Mandatory**,Income Security,2014,1.8
Mandatory**,Income Security,2015,1.7
Mandatory**,Income Security,2016,1.6
Mandatory**,Income Security,2017,1.5
Mandatory**,Medicaid,1968,0.2
Mandatory**,Medicaid,1969,0.2
Mandatory**,Medicaid,1970,0.3
Mandatory**,Medicaid,1971,0.3
Mandatory**,Medicaid,1972,0.4
Mandatory**,Medicaid,1973,0.3
Mandatory**,Medicaid,1974,0.4
Mandatory**,Medicaid,1975,0.4
Mandatory**,Medicaid,1976,0.5
Mandatory**,Medicaid,1977,0.5
Mandatory**,Medicaid,1978,0.5
Mandatory**,Medicaid,1979,0.5
Mandatory**,Medicaid,1980,0.5
Mandatory**,Medicaid,1981,0.5
Mandatory**,Medicaid,1982,0.5
Mandatory**,Medicaid,1983,0.5
Mandatory**,Medicaid,1984,0.5
Mandatory**,Medicaid,1985,0.5
Mandatory**,Medicaid,1986,0.6
Mandatory**,Medicaid,1987,0.6
Mandatory**,Medicaid,1988,0.6
Mandatory**,Medicaid,1989,0.6
Mandatory**,Medicaid,1990,0.7
Mandatory**,Medicaid,1991,0.9
Mandatory**,Medicaid,1992,1.1
Mandatory**,Medicaid,1993,1.1
Mandatory**,Medicaid,1994,1.1
Mandatory**,Medicaid,1995,1.2
Mandatory**,Medicaid,1996,1.2
Mandatory**,Medicaid,1997,1.1
Mandatory**,Medicaid,1998,1.1
Mandatory**,Medicaid,1999,1.1
Mandatory**,Medicaid,2000,1.2
Mandatory**,Medicaid,2001,1.2
Mandatory**,Medicaid,2002,1.4
Mandatory**,Medicaid,2003,1.4
Mandatory**,Medicaid,2004,1.5
Mandatory**,Medicaid,2005,1.4
Mandatory**,Medicaid,2006,1.3
Mandatory**,Medicaid,2007,1.3
Mandatory**,Medicaid,2008,1.4
Mandatory**,Medicaid,2009,1.7
Mandatory**,Medicaid,2010,1.8
Mandatory**,Medicaid,2011,1.8
Mandatory**,Medicaid,2012,1.6
Mandatory**,Medicaid,2013,1.6
Mandatory**,Medicaid,2014,1.7
Mandatory**,Medicaid,2015,1.9
Mandatory**,Medicaid,2016,2
Mandatory**,Medicaid,2017,2
Mandatory**,Medicare,1968,0.6
Mandatory**,Medicare,1969,0.6
Mandatory**,Medicare,1970,0.6
Mandatory**,Medicare,1971,0.7
Mandatory**,Medicare,1972,0.7
Mandatory**,Medicare,1973,0.7
Mandatory**,Medicare,1974,0.7
Mandatory**,Medicare,1975,0.9
Mandatory**,Medicare,1976,0.9
Mandatory**,Medicare,1977,1
Mandatory**,Medicare,1978,1.1
Mandatory**,Medicare,1979,1.1
Mandatory**,Medicare,1980,1.2
Mandatory**,Medicare,1981,1.3
Mandatory**,Medicare,1982,1.5
Mandatory**,Medicare,1983,1.6
Mandatory**,Medicare,1984,1.5
Mandatory**,Medicare,1985,1.6
Mandatory**,Medicare,1986,1.6
Mandatory**,Medicare,1987,1.7
Mandatory**,Medicare,1988,1.7
Mandatory**,Medicare,1989,1.7
Mandatory**,Medicare,1990,1.8
Mandatory**,Medicare,1991,1.9
Mandatory**,Medicare,1992,2
Mandatory**,Medicare,1993,2.1
Mandatory**,Medicare,1994,2.2
Mandatory**,Medicare,1995,2.3
Mandatory**,Medicare,1996,2.4
Mandatory**,Medicare,1997,2.5
Mandatory**,Medicare,1998,2.4
Mandatory**,Medicare,1999,2.2
Mandatory**,Medicare,2000,2.1
Mandatory**,Medicare,2001,2.3
Mandatory**,Medicare,2002,2.3
Mandatory**,Medicare,2003,2.4
Mandatory**,Medicare,2004,2.5
Mandatory**,Medicare,2005,2.6
Mandatory**,Medicare,2006,2.8
Mandatory**,Medicare,2007,3
Mandatory**,Medicare,2008,3.1
Mandatory**,Medicare,2009,3.5
Mandatory**,Medicare,2010,3.5
Mandatory**,Medicare,2011,3.6
Mandatory**,Medicare,2012,3.4
Mandatory**,Medicare,2013,3.5
Mandatory**,Medicare,2014,3.5
Mandatory**,Medicare,2015,3.5
Mandatory**,Medicare,2016,3.7
Mandatory**,Medicare,2017,3.7
Mandatory**,Other,1968,1.4
Mandatory**,Other,1969,1
Mandatory**,Other,1970,1
Mandatory**,Other,1971,0.9
Mandatory**,Other,1972,1.1
Mandatory**,Other,1973,1.3
Mandatory**,Other,1974,1.1
Mandatory**,Other,1975,1.5
Mandatory**,Other,1976,1
Mandatory**,Other,1977,0.9
Mandatory**,Other,1978,1.3
Mandatory**,Other,1979,1.1
Mandatory**,Other,1980,1.2
Mandatory**,Other,1981,1.2
Mandatory**,Other,1982,1.2
Mandatory**,Other,1983,1.2
Mandatory**,Other,1984,0.8
Mandatory**,Other,1985,1.3
Mandatory**,Other,1986,1
Mandatory**,Other,1987,0.8
Mandatory**,Other,1988,0.8
Mandatory**,Other,1989,0.9
Mandatory**,Other,1990,1.5
Mandatory**,Other,1991,1.6
Mandatory**,Other,1992,0.6
Mandatory**,Other,1993,0.1
Mandatory**,Other,1994,0.2
Mandatory**,Other,1995,0.1
Mandatory**,Other,1996,0.1
Mandatory**,Other,1997,0.1
Mandatory**,Other,1998,0.3
Mandatory**,Other,1999,0.4
Mandatory**,Other,2000,0.4
Mandatory**,Other,2001,0.4
Mandatory**,Other,2002,0.4
Mandatory**,Other,2003,0.4
Mandatory**,Other,2004,0.5
Mandatory**,Other,2005,0.5
Mandatory**,Other,2006,0.8
Mandatory**,Other,2007,0.4
Mandatory**,Other,2008,0.5
Mandatory**,Other,2009,2.2
Mandatory**,Other,2010,-0.1
Mandatory**,Other,2011,0.4
Mandatory**,Other,2012,0.8
Mandatory**,Other,2013,0.6
Mandatory**,Other,2014,0.4
Mandatory**,Other,2015,0.7
Mandatory**,Other,2016,0.6
Mandatory**,Other,2017,1
Mandatory**,Social Security,1968,2.6
Mandatory**,Social Security,1969,2.7
Mandatory**,Social Security,1970,2.8
Mandatory**,Social Security,1971,3.1
Mandatory**,Social Security,1972,3.2
Mandatory**,Social Security,1973,3.6
Mandatory**,Social Security,1974,3.7
Mandatory**,Social Security,1975,3.9
Mandatory**,Social Security,1976,4.1
Mandatory**,Social Security,1977,4.1
Mandatory**,Social Security,1978,4.1
Mandatory**,Social Security,1979,4
Mandatory**,Social Security,1980,4.2
Mandatory**,Social Security,1981,4.4
Mandatory**,Social Security,1982,4.6
Mandatory**,Social Security,1983,4.8
Mandatory**,Social Security,1984,4.5
Mandatory**,Social Security,1985,4.4
Mandatory**,Social Security,1986,4.3
Mandatory**,Social Security,1987,4.3
Mandatory**,Social Security,1988,4.2
Mandatory**,Social Security,1989,4.1
Mandatory**,Social Security,1990,4.2
Mandatory**,Social Security,1991,4.4
Mandatory**,Social Security,1992,4.4
Mandatory**,Social Security,1993,4.4
Mandatory**,Social Security,1994,4.4
Mandatory**,Social Security,1995,4.4
Mandatory**,Social Security,1996,4.3
Mandatory**,Social Security,1997,4.3
Mandatory**,Social Security,1998,4.2
Mandatory**,Social Security,1999,4.1
Mandatory**,Social Security,2000,4
Mandatory**,Social Security,2001,4.1
Mandatory**,Social Security,2002,4.2
Mandatory**,Social Security,2003,4.2
Mandatory**,Social Security,2004,4.1
Mandatory**,Social Security,2005,4
Mandatory**,Social Security,2006,4
Mandatory**,Social Security,2007,4.1
Mandatory**,Social Security,2008,4.1
Mandatory**,Social Security,2009,4.7
Mandatory**,Social Security,2010,4.7
Mandatory**,Social Security,2011,4.7
Mandatory**,Social Security,2012,4.8
Mandatory**,Social Security,2013,4.9
Mandatory**,Social Security,2014,4.9
Mandatory**,Social Security,2015,4.9
Mandatory**,Social Security,2016,4.9
Mandatory**,Social Security,2017,4.9
Mandatory**,Veterans' Programs,1968,0.6
Mandatory**,Veterans' Programs,1969,0.6
Mandatory**,Veterans' Programs,1970,0.7
Mandatory**,Veterans' Programs,1971,0.7
Mandatory**,Veterans' Programs,1972,0.7
Mandatory**,Veterans' Programs,1973,0.7
Mandatory**,Veterans' Programs,1974,0.7
Mandatory**,Veterans' Programs,1975,0.8
Mandatory**,Veterans' Programs,1976,0.8
Mandatory**,Veterans' Programs,1977,0.7
Mandatory**,Veterans' Programs,1978,0.6
Mandatory**,Veterans' Programs,1979,0.5
Mandatory**,Veterans' Programs,1980,0.5
Mandatory**,Veterans' Programs,1981,0.5
Mandatory**,Veterans' Programs,1982,0.5
Mandatory**,Veterans' Programs,1983,0.5
Mandatory**,Veterans' Programs,1984,0.4
Mandatory**,Veterans' Programs,1985,0.4
Mandatory**,Veterans' Programs,1986,0.4
Mandatory**,Veterans' Programs,1987,0.3
Mandatory**,Veterans' Programs,1988,0.3
Mandatory**,Veterans' Programs,1989,0.3
Mandatory**,Veterans' Programs,1990,0.3
Mandatory**,Veterans' Programs,1991,0.3
Mandatory**,Veterans' Programs,1992,0.3
Mandatory**,Veterans' Programs,1993,0.3
Mandatory**,Veterans' Programs,1994,0.3
Mandatory**,Veterans' Programs,1995,0.3
Mandatory**,Veterans' Programs,1996,0.3
Mandatory**,Veterans' Programs,1997,0.3
Mandatory**,Veterans' Programs,1998,0.3
Mandatory**,Veterans' Programs,1999,0.3
Mandatory**,Veterans' Programs,2000,0.3
Mandatory**,Veterans' Programs,2001,0.2
Mandatory**,Veterans' Programs,2002,0.3
Mandatory**,Veterans' Programs,2003,0.3
Mandatory**,Veterans' Programs,2004,0.3
Mandatory**,Veterans' Programs,2005,0.3
Mandatory**,Veterans' Programs,2006,0.3
Mandatory**,Veterans' Programs,2007,0.3
Mandatory**,Veterans' Programs,2008,0.3
Mandatory**,Veterans' Programs,2009,0.3
Mandatory**,Veterans' Programs,2010,0.4
Mandatory**,Veterans' Programs,2011,0.5
Mandatory**,Veterans' Programs,2012,0.4
Mandatory**,Veterans' Programs,2013,0.5
Mandatory**,Veterans' Programs,2014,0.5
Mandatory**,Veterans' Programs,2015,0.5
Mandatory**,Veterans' Programs,2016,0.6
Mandatory**,Veterans' Programs,2017,0.5
Miscellaneous,Revenue,1968,0.3
Miscellaneous,Revenue,1969,0.3
Miscellaneous,Revenue,1970,0.3
Miscellaneous,Revenue,1971,0.3
Miscellaneous,Revenue,1972,0.3
Miscellaneous,Revenue,1973,0.3
Miscellaneous,Revenue,1974,0.4
Miscellaneous,Revenue,1975,0.4
Miscellaneous,Revenue,1976,0.4
Miscellaneous,Revenue,1977,0.3
Miscellaneous,Revenue,1978,0.3
Miscellaneous,Revenue,1979,0.4
Miscellaneous,Revenue,1980,0.5
Miscellaneous,Revenue,1981,0.4
Miscellaneous,Revenue,1982,0.5
Miscellaneous,Revenue,1983,0.4
Miscellaneous,Revenue,1984,0.4
Miscellaneous,Revenue,1985,0.4
